,pclass,survived,sex,age,sibsp,parch,ticket,fare,male,female
43,1,1,female,60.0,0,0,11813,76.2917,0,1
44,1,1,female,41.0,0,0,16966,134.5,0,1
45,1,0,male,45.0,0,0,113050,26.55,1,0
46,1,0,male,28.0,0,0,113798,31.0,1,0
47,1,1,male,42.0,0,0,PC 17476,26.2875,1,0
48,1,1,female,53.0,0,0,PC 17606,27.4458,0,1
49,1,1,male,36.0,0,1,PC 17755,512.3292,1,0
50,1,1,female,58.0,0,1,PC 17755,512.3292,0,1
51,1,0,male,33.0,0,0,695,5.0,1,0
52,1,0,male,28.0,0,0,113059,47.1,1,0
53,1,0,male,17.0,0,0,113059,47.1,1,0
54,1,1,male,11.0,1,2,113760,120.0,1,0
55,1,1,female,14.0,1,2,113760,120.0,0,1
56,1,1,male,36.0,1,2,113760,120.0,1,0
57,1,1,female,36.0,1,2,113760,120.0,0,1
58,1,0,male,49.0,0,0,19924,26.0,1,0
59,1,1,female,28.0,0,0,17770,27.7208,0,1
60,1,0,male,36.0,1,0,19877,78.85,1,0
61,1,1,female,76.0,1,0,19877,78.85,0,1
62,1,0,male,46.0,1,0,W.E.P. 5734,61.175,1,0
63,1,1,female,47.0,1,0,W.E.P. 5734,61.175,0,1
64,1,1,male,27.0,1,0,113806,53.1,1,0
65,1,1,female,33.0,1,0,113806,53.1,0,1
66,1,1,female,36.0,0,0,PC 17608,262.375,0,1
67,1,1,female,30.0,0,0,110152,86.5,0,1
68,1,1,male,45.0,0,0,PC 17594,29.7,1,0
69,1,1,female,28.0,0,1,113505,55.0,0,1
70,1,0,male,28.0,0,0,112051,0.0,1,0
71,1,0,male,27.0,1,0,13508,136.7792,1,0
72,1,1,female,26.0,1,0,13508,136.7792,0,1
73,1,1,female,22.0,0,0,113781,151.55,0,1
74,1,0,male,28.0,0,0,110465,52.0,1,0
75,1,0,male,47.0,0,0,5727,25.5875,1,0
76,1,1,female,39.0,1,1,PC 17756,83.1583,0,1
77,1,0,male,37.0,1,1,PC 17756,83.1583,1,0
78,1,1,female,64.0,0,2,PC 17756,83.1583,0,1
79,1,1,female,55.0,2,0,11770,25.7,0,1
80,1,0,male,28.0,0,0,113791,26.55,1,0
81,1,0,male,70.0,1,1,WE/P 5735,71.0,1,0
82,1,1,female,36.0,0,2,WE/P 5735,71.0,0,1
83,1,1,female,64.0,1,1,112901,26.55,0,1
84,1,0,male,39.0,1,0,PC 17599,71.2833,1,0
85,1,1,female,38.0,1,0,PC 17599,71.2833,0,1
86,1,1,male,51.0,0,0,113055,26.55,1,0
87,1,1,male,27.0,0,0,113804,30.5,1,0
88,1,1,female,33.0,0,0,113781,151.55,0,1
89,1,0,male,31.0,1,0,F.C. 12750,52.0,1,0
90,1,1,female,27.0,1,2,F.C. 12750,52.0,0,1
91,1,1,male,31.0,1,0,17474,57.0,1,0
92,1,1,female,17.0,1,0,17474,57.0,0,1
93,1,1,male,53.0,1,1,33638,81.8583,1,0
94,1,1,male,4.0,0,2,33638,81.8583,1,0
95,1,1,female,54.0,1,1,33638,81.8583,0,1
96,1,0,male,50.0,1,0,PC 17761,106.425,1,0
97,1,1,female,27.0,1,1,PC 17558,247.5208,0,1
98,1,1,female,48.0,1,0,PC 17761,106.425,0,1
99,1,1,female,48.0,1,0,11755,39.6,0,1
100,1,1,male,49.0,1,0,PC 17485,56.9292,1,0
101,1,0,male,39.0,0,0,PC 17580,29.7,1,0
102,1,1,female,23.0,0,1,11767,83.1583,0,1
103,1,1,female,38.0,0,0,PC 17757,227.525,0,1
104,1,1,female,54.0,1,0,36947,78.2667,0,1
105,1,0,female,36.0,0,0,PC 17531,31.6792,0,1
106,1,0,male,28.0,0,0,PC 17483,221.7792,1,0
107,1,1,female,28.0,0,0,PC 17598,31.6833,0,1
108,1,1,female,28.0,0,0,17421,110.8833,0,1
109,1,1,male,36.0,0,0,PC 17474,26.3875,1,0
110,1,0,male,30.0,0,0,113051,27.75,1,0
111,1,1,female,24.0,3,2,19950,263.0,0,1
112,1,1,female,28.0,3,2,19950,263.0,0,1
113,1,1,female,23.0,3,2,19950,263.0,0,1
114,1,0,male,19.0,3,2,19950,263.0,1,0
115,1,0,male,64.0,1,4,19950,263.0,1,0
116,1,1,female,60.0,1,4,19950,263.0,0,1
117,1,1,female,30.0,0,0,PC 17485,56.9292,0,1
118,1,0,male,28.0,0,0,113778,26.55,1,0
119,1,1,male,50.0,2,0,PC 17611,133.65,1,0
120,1,1,male,43.0,1,0,17765,27.7208,1,0
121,1,1,female,28.0,1,0,PC 17611,133.65,0,1
122,1,1,female,22.0,0,2,13568,49.5,0,1
123,1,1,male,60.0,1,1,13567,79.2,1,0
124,1,1,female,48.0,1,1,13567,79.2,0,1
125,1,0,male,28.0,0,0,112058,0.0,1,0
126,1,0,male,37.0,1,0,113803,53.1,1,0
127,1,1,female,35.0,1,0,113803,53.1,0,1
128,1,0,male,47.0,0,0,111320,38.5,1,0
129,1,1,female,35.0,0,0,113503,211.5,0,1
130,1,1,female,22.0,0,1,112378,59.4,0,1
131,1,1,female,45.0,0,1,112378,59.4,0,1
132,1,0,male,24.0,0,0,PC 17593,79.2,1,0
133,1,1,male,49.0,1,0,17453,89.1042,1,0
134,1,1,female,28.0,1,0,17453,89.1042,0,1
135,1,0,male,71.0,0,0,PC 17754,34.6542,1,0
136,1,1,male,53.0,0,0,113780,28.5,1,0
137,1,1,female,19.0,0,0,112053,30.0,0,1
138,1,0,male,38.0,0,1,PC 17582,153.4625,1,0
139,1,1,female,58.0,0,1,PC 17582,153.4625,0,1
140,1,1,male,23.0,0,1,PC 17759,63.3583,1,0
141,1,1,female,45.0,0,1,PC 17759,63.3583,0,1
142,1,0,male,46.0,0,0,PC 17593,79.2,1,0
143,1,1,male,25.0,1,0,11765,55.4417,1,0
144,1,1,female,25.0,1,0,11765,55.4417,0,1
145,1,1,male,48.0,1,0,PC 17572,76.7292,1,0
146,1,1,female,49.0,1,0,PC 17572,76.7292,0,1
147,1,0,male,28.0,0,0,113796,42.4,1,0
148,1,0,male,45.0,1,0,36973,83.475,1,0
149,1,1,female,35.0,1,0,36973,83.475,0,1
150,1,0,male,40.0,0,0,112059,0.0,1,0
151,1,1,male,27.0,0,0,PC 17572,76.7292,1,0
152,1,1,male,28.0,0,0,16988,30.0,1,0
153,1,1,female,24.0,0,0,11767,83.1583,0,1
154,1,0,male,55.0,1,1,12749,93.5,1,0
155,1,1,female,52.0,1,1,12749,93.5,0,1
156,1,0,male,42.0,0,0,113038,42.5,1,0
157,1,0,male,28.0,0,0,17463,51.8625,1,0
158,1,0,male,55.0,0,0,680,50.0,1,0
159,1,1,female,16.0,0,1,111361,57.9792,0,1
160,1,1,female,44.0,0,1,111361,57.9792,0,1
161,1,1,female,51.0,1,0,13502,77.9583,0,1
162,1,0,male,42.0,1,0,113789,52.0,1,0
163,1,1,female,35.0,1,0,113789,52.0,0,1
164,1,1,male,35.0,0,0,111426,26.55,1,0
165,1,1,male,38.0,1,0,19943,90.0,1,0
166,1,0,male,28.0,0,0,PC 17600,30.6958,1,0
167,1,1,female,35.0,1,0,19943,90.0,0,1
168,1,1,female,38.0,0,0,113572,80.0,0,1
169,1,0,female,50.0,0,0,PC 17595,28.7125,0,1
170,1,1,male,49.0,0,0,112058,0.0,1,0
171,1,0,male,46.0,0,0,694,26.0,1,0
172,1,0,male,50.0,0,0,113044,26.0,1,0
173,1,0,male,32.5,0,0,113503,211.5,1,0
174,1,0,male,58.0,0,0,11771,29.7,1,0
175,1,0,male,41.0,1,0,17464,51.8625,1,0
176,1,1,female,28.0,1,0,17464,51.8625,0,1
177,1,1,male,42.0,1,0,11753,52.5542,1,0
178,1,1,female,45.0,1,0,11753,52.5542,0,1
179,1,0,male,28.0,0,0,113028,26.55,1,0
180,1,1,female,39.0,0,0,24160,211.3375,0,1
181,1,1,female,49.0,0,0,17465,25.9292,0,1
182,1,1,female,30.0,0,0,PC 17761,106.425,0,1
183,1,1,male,35.0,0,0,PC 17755,512.3292,1,0
184,1,0,male,28.0,0,0,PC 17612,27.7208,1,0
185,1,0,male,42.0,0,0,17475,26.55,1,0
186,1,1,female,55.0,0,0,112377,27.7208,0,1
187,1,1,female,16.0,0,1,PC 17592,39.4,0,1
188,1,1,female,51.0,0,1,PC 17592,39.4,0,1
189,1,0,male,29.0,0,0,113501,30.0,1,0
190,1,1,female,21.0,0,0,13502,77.9583,0,1
191,1,0,male,30.0,0,0,113801,45.5,1,0
192,1,1,female,58.0,0,0,PC 17569,146.5208,0,1
193,1,1,female,15.0,0,1,24160,211.3375,0,1
194,1,0,male,30.0,0,0,110469,26.0,1,0
195,1,1,female,16.0,0,0,110152,86.5,0,1
196,1,1,male,28.0,0,0,11774,29.7,1,0
197,1,0,male,19.0,1,0,113773,53.1,1,0
198,1,1,female,18.0,1,0,113773,53.1,0,1
199,1,1,female,24.0,0,0,PC 17482,49.5042,0,1
200,1,0,male,46.0,0,0,13050,75.2417,1,0
201,1,0,male,54.0,0,0,17463,51.8625,1,0
202,1,1,male,36.0,0,0,PC 17473,26.2875,1,0
203,1,0,male,28.0,1,0,PC 17604,82.1708,1,0
204,1,1,female,28.0,1,0,PC 17604,82.1708,0,1
205,1,0,male,65.0,0,0,13509,26.55,1,0
206,1,0,male,44.0,2,0,19928,90.0,1,0
207,1,1,female,33.0,1,0,19928,90.0,0,1
208,1,1,female,37.0,1,0,19928,90.0,0,1
209,1,1,male,30.0,1,0,13236,57.75,1,0
210,1,0,male,55.0,0,0,113787,30.5,1,0
211,1,0,male,47.0,0,0,113796,42.4,1,0
212,1,0,male,37.0,0,1,PC 17596,29.7,1,0
213,1,1,female,31.0,1,0,35273,113.275,0,1
214,1,1,female,23.0,1,0,35273,113.275,0,1
215,1,0,male,58.0,0,2,35273,113.275,1,0
216,1,1,female,19.0,0,2,11752,26.2833,0,1
217,1,0,male,64.0,0,0,693,26.0,1,0
218,1,1,female,39.0,0,0,PC 17758,108.9,0,1
219,1,1,male,28.0,0,0,F.C. 12998,25.7417,1,0
220,1,1,female,22.0,0,1,113509,61.9792,0,1
221,1,0,male,65.0,0,1,113509,61.9792,1,0
222,1,0,male,28.5,0,0,PC 17562,27.7208,1,0
223,1,0,male,28.0,0,0,112052,0.0,1,0
224,1,0,male,45.5,0,0,113043,28.5,1,0
225,1,0,male,23.0,0,0,12749,93.5,1,0
226,1,0,male,29.0,1,0,113776,66.6,1,0
227,1,1,female,22.0,1,0,113776,66.6,0,1
228,1,0,male,18.0,1,0,PC 17758,108.9,1,0
229,1,1,female,17.0,1,0,PC 17758,108.9,0,1
230,1,1,female,30.0,0,0,12749,93.5,0,1
231,1,1,male,52.0,0,0,113786,30.5,1,0
232,1,0,male,47.0,0,0,110465,52.0,1,0
233,1,1,female,56.0,0,1,11767,83.1583,0,1
234,1,0,male,38.0,0,0,19972,0.0,1,0
235,1,1,male,28.0,0,0,PC 17607,39.6,1,0
236,1,0,male,22.0,0,0,PC 17760,135.6333,1,0
237,1,0,male,28.0,0,0,PC 17757,227.525,1,0
238,1,1,female,43.0,0,1,24160,211.3375,0,1
239,1,0,male,31.0,0,0,PC 17590,50.4958,1,0
240,1,1,male,45.0,0,0,111428,26.55,1,0
241,1,0,male,28.0,0,0,113767,50.0,1,0
242,1,1,female,33.0,0,0,PC 17613,27.7208,0,1
243,1,0,male,46.0,0,0,PC 17585,79.2,1,0
244,1,0,male,36.0,0,0,13049,40.125,1,0
245,1,1,female,33.0,0,0,110152,86.5,0,1
246,1,0,male,55.0,1,0,PC 17603,59.4,1,0
247,1,1,female,54.0,1,0,PC 17603,59.4,0,1
248,1,0,male,33.0,0,0,113790,26.55,1,0
249,1,1,male,13.0,2,2,PC 17608,262.375,1,0
250,1,1,female,18.0,2,2,PC 17608,262.375,0,1
251,1,1,female,21.0,2,2,PC 17608,262.375,0,1
252,1,0,male,61.0,1,3,PC 17608,262.375,1,0
253,1,1,female,48.0,1,3,PC 17608,262.375,0,1
254,1,1,male,28.0,0,0,19988,30.5,1,0
255,1,1,female,24.0,0,0,PC 17477,69.3,0,1
256,1,1,male,28.0,0,0,111163,26.0,1,0
257,1,1,female,35.0,1,0,13236,57.75,0,1
258,1,1,female,30.0,0,0,113798,31.0,0,1
259,1,1,male,34.0,0,0,113794,26.55,1,0
260,1,1,female,40.0,0,0,PC 17582,153.4625,0,1
261,1,1,male,35.0,0,0,PC 17475,26.2875,1,0
262,1,0,male,50.0,1,0,13507,55.9,1,0
263,1,1,female,39.0,1,0,13507,55.9,0,1
264,1,1,male,56.0,0,0,13213,35.5,1,0
265,1,1,male,28.0,0,0,113788,35.5,1,0
266,1,0,male,56.0,0,0,113792,26.55,1,0
267,1,0,male,56.0,0,0,17764,30.6958,1,0
268,1,0,male,24.0,1,0,13695,60.0,1,0
269,1,0,male,28.0,0,0,113056,26.0,1,0
270,1,1,female,18.0,1,0,13695,60.0,0,1
271,1,1,male,24.0,1,0,21228,82.2667,1,0
272,1,1,female,23.0,1,0,21228,82.2667,0,1
273,1,1,male,6.0,0,2,16966,134.5,1,0
274,1,1,male,45.0,1,1,16966,134.5,1,0
275,1,1,female,40.0,1,1,16966,134.5,0,1
276,1,0,male,57.0,1,0,PC 17569,146.5208,1,0
277,1,1,female,28.0,1,0,PC 17569,146.5208,0,1
278,1,1,male,32.0,0,0,13214,30.5,1,0
279,1,0,male,62.0,0,0,113514,26.55,1,0
280,1,1,male,54.0,1,0,11778,55.4417,1,0
281,1,1,female,43.0,1,0,11778,55.4417,0,1
282,1,1,female,52.0,1,0,36947,78.2667,0,1
283,1,0,male,28.0,0,0,PC 17605,27.7208,1,0
284,1,1,female,62.0,0,0,113572,80.0,0,1
285,1,0,male,67.0,1,0,PC 17483,221.7792,1,0
286,1,0,female,63.0,1,0,PC 17483,221.7792,0,1
287,1,0,male,61.0,0,0,36963,32.3208,1,0
288,1,1,female,48.0,0,0,17466,25.9292,0,1
289,1,1,female,18.0,0,2,110413,79.65,0,1
290,1,0,male,52.0,1,1,110413,79.65,1,0
291,1,1,female,39.0,1,1,110413,79.65,0,1
292,1,1,male,48.0,1,0,19996,52.0,1,0
293,1,1,female,28.0,1,0,19996,52.0,0,1
294,1,0,male,49.0,1,1,17421,110.8833,1,0
295,1,1,male,17.0,0,2,17421,110.8833,1,0
296,1,1,female,39.0,1,1,17421,110.8833,0,1
297,1,1,female,28.0,0,0,PC 17585,79.2,0,1
298,1,1,male,31.0,0,0,2543,28.5375,1,0
299,1,0,male,40.0,0,0,PC 17601,27.7208,1,0
300,1,0,male,61.0,0,0,111240,33.5,1,0
301,1,0,male,47.0,0,0,36967,34.0208,1,0
302,1,1,female,35.0,0,0,PC 17755,512.3292,0,1
303,1,0,male,64.0,1,0,110813,75.25,1,0
304,1,1,female,60.0,1,0,110813,75.25,0,1
305,1,0,male,60.0,0,0,113800,26.55,1,0
306,1,0,male,54.0,0,1,35281,77.2875,1,0
307,1,0,male,21.0,0,1,35281,77.2875,1,0
308,1,1,female,55.0,0,0,PC 17760,135.6333,0,1
309,1,1,female,31.0,0,2,36928,164.8667,0,1
310,1,0,male,57.0,1,1,36928,164.8667,1,0
311,1,1,female,45.0,1,1,36928,164.8667,0,1
312,1,0,male,50.0,1,1,113503,211.5,1,0
313,1,0,male,27.0,0,2,113503,211.5,1,0
314,1,1,female,50.0,1,1,113503,211.5,0,1
315,1,1,female,21.0,0,0,113795,26.55,0,1
316,1,0,male,51.0,0,1,PC 17597,61.3792,1,0
317,1,1,male,21.0,0,1,PC 17597,61.3792,1,0
318,1,0,male,28.0,0,0,113510,35.0,1,0
319,1,1,female,31.0,0,0,16966,134.5,0,1
320,1,1,male,28.0,0,0,19947,35.5,1,0
321,1,0,male,62.0,0,0,113807,26.55,1,0
322,1,1,female,36.0,0,0,PC 17760,135.6333,0,1
323,2,0,male,30.0,1,0,P/PP 3381,24.0,1,0
324,2,1,female,28.0,1,0,P/PP 3381,24.0,0,1
325,2,0,male,30.0,0,0,248744,13.0,1,0
326,2,0,male,18.0,0,0,231945,11.5,1,0
327,2,0,male,25.0,0,0,C.A. 34050,10.5,1,0
328,2,0,male,34.0,1,0,226875,26.0,1,0
329,2,1,female,36.0,1,0,226875,26.0,0,1
330,2,0,male,57.0,0,0,244346,13.0,1,0
331,2,0,male,18.0,0,0,29108,11.5,1,0
332,2,0,male,23.0,0,0,C.A. 31030,10.5,1,0
333,2,1,female,36.0,0,0,28551,13.0,0,1
334,2,0,male,28.0,0,0,C.A./SOTON 34068,10.5,1,0
335,2,0,male,51.0,0,0,S.O.P. 1166,12.525,1,0
336,2,1,male,32.0,1,0,2908,26.0,1,0
337,2,1,female,19.0,1,0,2908,26.0,0,1
338,2,0,male,28.0,0,0,244358,26.0,1,0
339,2,1,male,1.0,2,1,230136,39.0,1,0
340,2,1,female,4.0,2,1,230136,39.0,0,1
341,2,1,female,12.0,2,1,230136,39.0,0,1
342,2,1,female,36.0,0,3,230136,39.0,0,1
343,2,1,male,34.0,0,0,248698,13.0,1,0
344,2,1,female,19.0,0,0,28404,13.0,0,1
345,2,0,male,23.0,0,0,28425,13.0,1,0
346,2,0,male,26.0,0,0,237670,13.0,1,0
347,2,0,male,42.0,0,0,211535,13.0,1,0
348,2,0,male,27.0,0,0,220367,13.0,1,0
349,2,1,female,24.0,0,0,248733,13.0,0,1
350,2,1,female,15.0,0,2,29750,39.0,0,1
351,2,0,male,60.0,1,1,29750,39.0,1,0
352,2,1,female,40.0,1,1,29750,39.0,0,1
353,2,1,female,20.0,1,0,236853,26.0,0,1
354,2,0,male,25.0,1,0,236853,26.0,1,0
355,2,1,female,36.0,0,0,27849,13.0,0,1
356,2,0,male,25.0,0,0,234686,13.0,1,0
357,2,0,male,42.0,0,0,244310,13.0,1,0
358,2,1,female,42.0,0,0,236852,13.0,0,1
359,2,1,male,0.8333,0,2,248738,29.0,1,0
360,2,1,male,26.0,1,1,248738,29.0,1,0
361,2,1,female,22.0,1,1,248738,29.0,0,1
362,2,1,female,35.0,0,0,F.C.C. 13528,21.0,0,1
363,2,0,male,28.0,0,0,239853,0.0,1,0
364,2,0,male,19.0,0,0,28424,13.0,1,0
365,2,0,female,44.0,1,0,244252,26.0,0,1
366,2,0,male,54.0,1,0,244252,26.0,1,0
367,2,0,male,52.0,0,0,248731,13.5,1,0
368,2,0,male,37.0,1,0,SC/AH 29037,26.0,1,0
369,2,0,female,29.0,1,0,SC/AH 29037,26.0,0,1
370,2,1,female,25.0,1,1,237789,30.0,0,1
371,2,1,female,45.0,0,2,237789,30.0,0,1
372,2,0,male,29.0,1,0,2003,26.0,1,0
373,2,1,female,28.0,1,0,2003,26.0,0,1
374,2,0,male,29.0,0,0,W./C. 14263,10.5,1,0
375,2,0,male,28.0,0,0,248740,13.0,1,0
376,2,1,male,24.0,0,0,28034,10.5,1,0
377,2,1,female,8.0,0,2,C.A. 31921,26.25,0,1
378,2,0,male,31.0,1,1,C.A. 31921,26.25,1,0
379,2,1,female,31.0,1,1,C.A. 31921,26.25,0,1
380,2,1,female,22.0,0,0,W./C. 14266,10.5,0,1
381,2,0,female,30.0,0,0,237249,13.0,0,1
382,2,0,female,28.0,0,0,F.C.C. 13534,21.0,0,1
383,2,0,male,21.0,0,0,29107,11.5,1,0
384,2,0,male,28.0,0,0,239853,0.0,1,0
385,2,1,male,8.0,1,1,C.A. 33112,36.75,1,0
386,2,0,male,18.0,0,0,S.O.C. 14879,73.5,1,0
387,2,1,female,48.0,0,2,C.A. 33112,36.75,0,1
388,2,1,female,28.0,0,0,237668,13.0,0,1
389,2,0,male,32.0,0,0,244360,13.0,1,0
390,2,0,male,17.0,0,0,S.O.C. 14879,73.5,1,0
391,2,0,male,29.0,1,0,SC/PARIS 2167,27.7208,1,0
392,2,1,female,24.0,1,0,SC/PARIS 2167,27.7208,0,1
393,2,0,male,25.0,0,0,C.A. 31029,31.5,1,0
394,2,0,male,18.0,0,0,S.O.C. 14879,73.5,1,0
395,2,1,female,18.0,0,1,231919,23.0,0,1
396,2,1,female,34.0,0,1,231919,23.0,0,1
397,2,0,male,54.0,0,0,28403,26.0,1,0
398,2,1,male,8.0,0,2,28220,32.5,1,0
399,2,0,male,42.0,1,1,28220,32.5,1,0
400,2,1,female,34.0,1,1,28220,32.5,0,1
401,2,1,female,27.0,1,0,SC/PARIS 2149,13.8583,0,1
402,2,1,female,30.0,1,0,SC/PARIS 2148,13.8583,0,1
403,2,0,male,23.0,0,0,29751,13.0,1,0
404,2,0,male,21.0,0,0,236854,13.0,1,0
405,2,0,male,18.0,0,0,236171,13.0,1,0
406,2,0,male,40.0,1,0,2926,26.0,1,0
407,2,1,female,29.0,1,0,2926,26.0,0,1
408,2,0,male,18.0,0,0,C.A. 15185,10.5,1,0
409,2,0,male,36.0,0,0,229236,13.0,1,0
410,2,0,male,28.0,0,0,239854,0.0,1,0
411,2,0,female,38.0,0,0,237671,13.0,0,1
412,2,0,male,35.0,0,0,239865,26.0,1,0
413,2,0,male,38.0,1,0,28664,21.0,1,0
414,2,0,male,34.0,1,0,28664,21.0,1,0
415,2,1,female,34.0,0,0,243880,13.0,0,1
416,2,0,male,16.0,0,0,239865,26.0,1,0
417,2,0,male,26.0,0,0,31028,10.5,1,0
418,2,0,male,47.0,0,0,C.A. 30769,10.5,1,0
419,2,0,male,21.0,1,0,28133,11.5,1,0
420,2,0,male,21.0,1,0,28134,11.5,1,0
421,2,0,male,24.0,0,0,248726,13.5,1,0
422,2,0,male,24.0,0,0,233866,13.0,1,0
423,2,0,male,34.0,0,0,12233,13.0,1,0
424,2,0,male,30.0,0,0,250646,13.0,1,0
425,2,0,male,52.0,0,0,250647,13.0,1,0
426,2,0,male,30.0,0,0,250653,13.0,1,0
427,2,1,male,0.6667,1,1,250649,14.5,1,0
428,2,1,female,24.0,0,2,250649,14.5,0,1
429,2,0,male,44.0,0,0,248746,13.0,1,0
430,2,1,female,6.0,0,1,248727,33.0,0,1
431,2,0,male,28.0,0,1,248727,33.0,1,0
432,2,1,male,62.0,0,0,S.W./PP 752,10.5,1,0
433,2,0,male,30.0,0,0,W/C 14208,10.5,1,0
434,2,1,female,7.0,0,2,F.C.C. 13529,26.25,0,1
435,2,0,male,43.0,1,1,F.C.C. 13529,26.25,1,0
436,2,1,female,45.0,1,1,F.C.C. 13529,26.25,0,1
437,2,1,female,24.0,1,2,220845,65.0,0,1
438,2,1,female,24.0,1,2,220845,65.0,0,1
439,2,0,male,49.0,1,2,220845,65.0,1,0
440,2,1,female,48.0,1,2,220845,65.0,0,1
441,2,1,female,55.0,0,0,248706,16.0,0,1
442,2,0,male,24.0,2,0,S.O.C. 14879,73.5,1,0
443,2,0,male,32.0,2,0,S.O.C. 14879,73.5,1,0
444,2,0,male,21.0,2,0,S.O.C. 14879,73.5,1,0
445,2,0,female,18.0,1,1,250650,13.0,0,1
446,2,1,female,20.0,2,1,29105,23.0,0,1
447,2,0,male,23.0,2,1,29104,11.5,1,0
448,2,0,male,36.0,0,0,242963,13.0,1,0
449,2,1,female,54.0,1,3,29105,23.0,0,1
450,2,0,male,50.0,0,0,250643,13.0,1,0
451,2,0,male,44.0,1,0,26707,26.0,1,0
452,2,1,female,29.0,1,0,26707,26.0,0,1
453,2,0,male,21.0,0,0,S.O.C. 14879,73.5,1,0
454,2,1,male,42.0,0,0,237798,13.0,1,0
455,2,0,male,63.0,1,0,24065,26.0,1,0
456,2,0,female,60.0,1,0,24065,26.0,0,1
457,2,0,male,33.0,0,0,SCO/W 1585,12.275,1,0
458,2,1,female,17.0,0,0,SO/C 14885,10.5,0,1
459,2,0,male,42.0,1,0,243847,27.0,1,0
460,2,1,female,24.0,2,1,243847,27.0,0,1
461,2,0,male,47.0,0,0,237565,15.0,1,0
462,2,0,male,24.0,2,0,C.A. 31029,31.5,1,0
463,2,0,male,22.0,2,0,C.A. 31029,31.5,1,0
464,2,0,male,32.0,0,0,C.A. 33111,10.5,1,0
465,2,1,female,23.0,0,0,SC/AH Basle 541,13.7917,0,1
466,2,0,male,34.0,1,0,244367,26.0,1,0
467,2,1,female,24.0,1,0,244367,26.0,0,1
468,2,0,female,22.0,0,0,F.C.C. 13534,21.0,0,1
469,2,1,female,28.0,0,0,226593,12.35,0,1
470,2,0,male,35.0,0,0,233734,12.35,1,0
471,2,1,female,45.0,0,0,223596,13.5,0,1
472,2,0,male,57.0,0,0,219533,12.35,1,0
473,2,0,male,28.0,0,0,239855,0.0,1,0
474,2,0,male,31.0,0,0,C.A. 18723,10.5,1,0
475,2,0,female,26.0,1,1,250651,26.0,0,1
476,2,0,male,30.0,1,1,250651,26.0,1,0
477,2,0,male,28.0,0,0,240261,10.7083,1,0
478,2,1,female,1.0,1,2,SC/Paris 2123,41.5792,0,1
479,2,1,female,3.0,1,2,SC/Paris 2123,41.5792,0,1
480,2,0,male,25.0,1,2,SC/Paris 2123,41.5792,1,0
481,2,1,female,22.0,1,2,SC/Paris 2123,41.5792,0,1
482,2,1,female,17.0,0,0,SC 1748,12.0,0,1
483,2,1,female,28.0,0,0,248727,33.0,0,1
484,2,1,female,34.0,0,0,C.A. 34260,10.5,0,1
485,2,0,male,36.0,0,0,SC/Paris 2163,12.875,1,0
486,2,0,male,24.0,0,0,C.A. 29566,10.5,1,0
